#Application:Echo One 5.0.6
#DeviceId:fcf77365338a4100148cfafb6a9e0ba4
#DeviceName:Echo One @ 2109119DG
#Systems:5G
#MCC:262
#MNC:1
Time,Longitude,Latitude,5G 5GMM State,5G 5GMM Substate,5G Band,5G Bandwidth Downlink (MHz),5G Bandwidth Uplink (MHz),5G CSI-RSRP (L3) (dBm),5G C-RNTI,5G gNodeB ID,5G MAC Layer Downlink Throughput (bps),5G MAC Layer Uplink Throughput (Total) (bps),5G Maximum TX Power (dBm),5G MCS DL,5G MCS DL (Total),5G MCS UL (Total),5G MCS UL,5G Modulation DL,5G Modulation DL (Total),5G Modulation UL,5G Modulation UL (Total),5G NR Cell ID,5G RBs DL,5G RB Usage Uplink (%),5G RB Usage Downlink (%),5G RBs DL Average,5G RBs DL Average (Total),5G RBs DL Max,5G RBs UL,5G RBs UL Average,5G RBs UL Average (Total),5G RBs UL Max,5G RLC Layer Downlink BLER (Total) (%),5G RLC Layer Downlink Block Rate (Total),5G RLC Layer Downlink Retransmission Rate (Total) (%),5G SSB-RSRP (L3) (dBm),5G SS-RSRP (dBm),5G SS-RSRP (0) (dBm),5G SS-RSRP (1) (dBm),5G SS-RSRP (2) (dBm),5G SS-RSRP (3) (dBm),5G SS-RSRQ (dB),5G SS-RSRQ (0) (dB),5G SS-RSRQ (1) (dB),5G SS-RSRQ (2) (dB),5G SS-RSRQ (3) (dB),5G SS-RSSI (0) (dBm),5G SS-RSSI (1) (dBm),5G SS-RSSI (2) (dBm),5G SS-RSSI (3) (dBm),5G SS-SINR (dB),5G SS-SINR (0) (dB),5G SS-SINR (1) (dB),5G SS-SINR (2) (dB),5G SS-SINR (3) (dB)
2026-03-20T12:30:11.301+01:00,17.071278,48.15398,,,Band n78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.5,,,,,-10.6,,,,,,,,,14.8,,,,
2026-03-20T12:30:11.424+01:00,17.071278,48.15398,,,Band n78,,,,17936,,,,,,19,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0",,,,1,,,,,,5,,,,0.0,0,0.0,,-95.5,,,,,-10.6,,,,,,,,,14.8,,,,
2026-03-20T12:30:11.424+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,,,,,,19,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,,,,,,5,,,,0.0,0,0.0,,-95.5,,,,,-10.6,,,,,,,,,14.8,,,,
2026-03-20T12:30:11.424+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,,,,,,19,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",6733824,1,,,,,,5,,,,0.0,0,0.0,,-95.5,,,,,-10.6,,,,,,,,,14.8,,,,
2026-03-20T12:30:11.424+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,,,,,,19,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",6733824,1,,,,1,,5,,5,,0.0,0,0.0,,-95.5,-98.9,-95.5,,,-10.6,,,,,,,,,14.8,12.3,13.6,14.8,11.7
2026-03-20T12:30:11.424+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,,32000,9537,,,19,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",6733824,1,9.8,2.0,,1,51,5,,5,51,0.0,0,0.0,,-95.5,-98.9,-95.5,,,-10.6,,,,,,,,,14.8,12.3,13.6,14.8,11.7
2026-03-20T12:30:12.318+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,26304,32000,0,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",6733824,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-97.7,-97.5,-100.1,,,-10.8,,,,,,,,,14.3,14.3,13.0,,
2026-03-20T12:30:13.407+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,26304,32000,16091,,19,19,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=7,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=7,1024-QAM=0",6733824,1,9.8,2.0,1,1,51,5,4,4,51,0.0,0,0.0,,-96.6,-96.8,-105.8,,,-10.5,,,,,-68.4,-66.1,-65.3,-72.4,21.4,21.4,13.8,14.2,7.8
2026-03-20T12:30:14.451+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,26304,32000,0,,19,19,25,25,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=7,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=7,1024-QAM=0",6733824,1,9.8,2.0,1,1,51,5,8,8,51,0.0,0,0.0,,-96.3,-96.5,-104.1,,,-10.5,,,,,-67.0,-81.5,-70.9,-70.9,14.6,14.6,-0.3,9.7,12.3
2026-03-20T12:30:15.462+01:00,17.071278,48.15398,,,Band n78,20.0,20.0,,17936,26304,32000,0,,19,19,14,14,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=5,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=5,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=2,1024-QAM=0",6733824,1,9.8,2.0,0,0,51,5,5,5,51,0.0,0,0.0,,-96.3,-96.3,-101.2,,,-10.5,,,,,-68.4,-71.9,-74.4,-69.5,21.9,19.8,11.8,8.9,21.9
