#Application:Echo One 5.0.6
#DeviceId:fcf77365338a4100148cfafb6a9e0ba4
#DeviceName:Echo One @ 2109119DG
#Systems:5G
#MCC:0
#MNC:0
#Notes:volanie 7.5m
Time,Longitude,Latitude,5G 5GMM State,5G 5GMM Substate,5G Band,5G Bandwidth Downlink (MHz),5G Bandwidth Uplink (MHz),5G CSI-RSRP (L3) (dBm),5G C-RNTI,5G gNodeB ID,5G MAC Layer Downlink Throughput (bps),5G MAC Layer Uplink Throughput (Total) (bps),5G Maximum TX Power (dBm),5G MCS DL,5G MCS DL (Total),5G MCS UL (Total),5G MCS UL,5G Modulation DL,5G Modulation DL (Total),5G Modulation UL,5G Modulation UL (Total),5G NR Cell ID,5G RBs DL,5G RB Usage Uplink (%),5G RB Usage Downlink (%),5G RBs DL Average,5G RBs DL Average (Total),5G RBs DL Max,5G RBs UL,5G RBs UL Average,5G RBs UL Average (Total),5G RBs UL Max,5G RLC Layer Downlink BLER (Total) (%),5G RLC Layer Downlink Block Rate (Total),5G RLC Layer Downlink Retransmission Rate (Total) (%),5G SSB-RSRP (L3) (dBm),5G SS-RSRP (dBm),5G SS-RSRP (0) (dBm),5G SS-RSRP (1) (dBm),5G SS-RSRP (2) (dBm),5G SS-RSRP (3) (dBm),5G SS-RSRQ (dB),5G SS-RSRQ (0) (dB),5G SS-RSRQ (1) (dB),5G SS-RSRQ (2) (dB),5G SS-RSRQ (3) (dB),5G SS-RSSI (0) (dBm),5G SS-RSSI (1) (dBm),5G SS-RSSI (2) (dBm),5G SS-RSSI (3) (dBm),5G SS-SINR (dB),5G SS-SINR (0) (dB),5G SS-SINR (1) (dB),5G SS-SINR (2) (dB),5G SS-SINR (3) (dB)
2026-03-20T14:11:50.461+01:00,17.071212,48.154018,,,Band n78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20T14:11:50.461+01:00,17.071203,48.154007,,,Band n78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20T14:11:51.491+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,242486165,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=7,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=7,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=3,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=3,1024-QAM=0",,1,9.8,2.0,1,1,51,5,0,0,51,0.0,0,0.0,,-101.9,-101.8,-103.4,,,-10.4,,,,,-71.9,-74.4,-74.0,-74.5,6.5,3.6,6.5,-2.0,1.1
2026-03-20T14:11:52.491+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,9444,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=6,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=6,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=6,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=6,1024-QAM=0",,1,9.8,2.0,8,8,51,5,5,5,51,0.0,0,0.0,,-101.3,-101.3,-102.8,,,-10.4,,,,,-73.3,-74.9,-78.1,-75.0,8.2,8.2,7.9,2.2,5.4
2026-03-20T14:11:53.491+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,19074,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-102.6,-102.6,-103.5,,,-10.4,,,,,-73.8,-75.0,-75.3,-74.6,4.4,4.4,3.7,-0.8,3.9
2026-03-20T14:11:54.010+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,8843,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-102.6,-102.6,-103.5,,,-10.4,,,,,-73.8,-75.0,-75.3,-74.6,4.4,4.4,3.7,-0.8,3.9
2026-03-20T14:11:54.020+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,8843,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-101.6,-101.6,-103.7,,,-10.4,,,,,-73.0,-72.3,-72.5,-76.0,3.3,3.3,-1.0,-5.0,1.7
2026-03-20T14:11:54.022+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,8843,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-101.6,-101.6,-103.7,,,-10.4,,,,,-73.0,-72.3,-72.5,-76.0,3.3,3.3,-1.0,-5.0,1.7
2026-03-20T14:11:54.220+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,8843,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=3,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=3,1024-QAM=0",,14,9.8,27.5,10,10,51,5,5,5,51,0.0,0,0.0,,-101.6,-101.6,-103.7,,,-10.4,,,,,-73.0,-72.3,-72.5,-76.0,3.3,3.3,-1.0,-5.0,1.7
2026-03-20T14:11:54.222+01:00,17.071203,48.154007,,,Band n78,20.0,20.0,,,,32000,8843,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=3,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=3,1024-QAM=0",,14,9.8,27.5,10,10,51,5,5,5,51,0.0,0,0.0,,-101.6,-101.6,-103.7,,,-10.4,,,,,-73.0,-72.3,-72.5,-76.0,3.3,3.3,-1.0,-5.0,1.7
