#Application:Echo One 5.0.6
#DeviceId:fcf77365338a4100148cfafb6a9e0ba4
#DeviceName:Echo One @ 2109119DG
#Systems:5G
#MCC:0
#MNC:0
#Notes:volanie 5 m
Time,Longitude,Latitude,5G 5GMM State,5G 5GMM Substate,5G Band,5G Bandwidth Downlink (MHz),5G Bandwidth Uplink (MHz),5G CSI-RSRP (L3) (dBm),5G C-RNTI,5G gNodeB ID,5G MAC Layer Downlink Throughput (bps),5G MAC Layer Uplink Throughput (Total) (bps),5G Maximum TX Power (dBm),5G MCS DL,5G MCS DL (Total),5G MCS UL (Total),5G MCS UL,5G Modulation DL,5G Modulation DL (Total),5G Modulation UL,5G Modulation UL (Total),5G NR Cell ID,5G RBs DL,5G RB Usage Uplink (%),5G RB Usage Downlink (%),5G RBs DL Average,5G RBs DL Average (Total),5G RBs DL Max,5G RBs UL,5G RBs UL Average,5G RBs UL Average (Total),5G RBs UL Max,5G RLC Layer Downlink BLER (Total) (%),5G RLC Layer Downlink Block Rate (Total),5G RLC Layer Downlink Retransmission Rate (Total) (%),5G SSB-RSRP (L3) (dBm),5G SS-RSRP (dBm),5G SS-RSRP (0) (dBm),5G SS-RSRP (1) (dBm),5G SS-RSRP (2) (dBm),5G SS-RSRP (3) (dBm),5G SS-RSRQ (dB),5G SS-RSRQ (0) (dB),5G SS-RSRQ (1) (dB),5G SS-RSRQ (2) (dB),5G SS-RSRQ (3) (dB),5G SS-RSSI (0) (dBm),5G SS-RSSI (1) (dBm),5G SS-RSSI (2) (dBm),5G SS-RSSI (3) (dBm),5G SS-SINR (dB),5G SS-SINR (0) (dB),5G SS-SINR (1) (dB),5G SS-SINR (2) (dB),5G SS-SINR (3) (dB)
2026-03-20T14:12:40.300+01:00,17.071218,48.153993,,,Band n78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96.8,,,,,-10.5,,,,,,,,,9.0,,,,
2026-03-20T14:12:41.330+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,0,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-95.6,-95.4,-99.4,,,-10.6,,,,,-67.4,-71.0,-71.3,-69.4,11.1,9.5,11.1,2.8,11.0
2026-03-20T14:12:42.336+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,9353,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=2,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=2,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,1,9.8,2.0,0,0,51,5,5,5,51,0.0,0,0.0,,-96.0,-96.0,-99.6,,,-10.5,,,,,-67.6,-71.1,-71.9,-69.1,12.2,11.2,11.6,6.4,12.2
2026-03-20T14:12:43.483+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,0,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-96.5,-96.5,-99.9,,,-10.5,,,,,-67.4,-71.4,-70.9,-70.1,12.5,7.3,7.7,3.5,12.5
2026-03-20T14:12:43.792+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,8924,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-95.8,-96.0,-99.6,,,-10.5,,,,,-67.5,-71.0,-71.1,-70.1,13.9,12.6,13.9,8.1,13.8
2026-03-20T14:12:43.802+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,8924,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-95.8,-96.0,-99.6,,,-10.5,,,,,-67.5,-71.0,-71.1,-70.1,13.9,12.6,13.9,8.1,13.8
2026-03-20T14:12:43.805+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,8924,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-95.8,-96.0,-99.6,,,-10.5,,,,,-67.5,-71.0,-71.1,-70.1,13.9,12.6,13.9,8.1,13.8
2026-03-20T14:12:43.837+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,8924,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,11.8,2.0,1,1,51,6,5,5,51,0.0,0,0.0,,-95.8,-96.0,-99.6,,,-10.5,,,,,-67.5,-71.0,-71.1,-70.1,13.9,12.6,13.9,8.1,13.8
2026-03-20T14:12:43.840+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,8924,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,11.8,2.0,1,1,51,6,5,5,51,0.0,0,0.0,,-95.8,-96.0,-99.6,,,-10.5,,,,,-67.5,-71.0,-71.1,-70.1,13.9,12.6,13.9,8.1,13.8
2026-03-20T14:12:43.858+01:00,17.071218,48.153993,,,Band n78,20.0,20.0,,,,32000,8924,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,11.8,2.0,1,1,51,6,5,5,51,0.0,0,0.0,,-95.8,-96.0,-99.6,,,-10.5,,,,,-67.5,-71.0,-71.1,-70.1,13.9,12.6,13.9,8.1,13.8
