#Application:Echo One 5.0.6
#DeviceId:fcf77365338a4100148cfafb6a9e0ba4
#DeviceName:Echo One @ 2109119DG
#Systems:5G
#MCC:0
#MNC:0
#Notes:volanie 2,5m
Time,Longitude,Latitude,5G 5GMM State,5G 5GMM Substate,5G Band,5G Bandwidth Downlink (MHz),5G Bandwidth Uplink (MHz),5G CSI-RSRP (L3) (dBm),5G C-RNTI,5G gNodeB ID,5G MAC Layer Downlink Throughput (bps),5G MAC Layer Uplink Throughput (Total) (bps),5G Maximum TX Power (dBm),5G MCS DL,5G MCS DL (Total),5G MCS UL (Total),5G MCS UL,5G Modulation DL,5G Modulation DL (Total),5G Modulation UL,5G Modulation UL (Total),5G NR Cell ID,5G RBs DL,5G RB Usage Uplink (%),5G RB Usage Downlink (%),5G RBs DL Average,5G RBs DL Average (Total),5G RBs DL Max,5G RBs UL,5G RBs UL Average,5G RBs UL Average (Total),5G RBs UL Max,5G RLC Layer Downlink BLER (Total) (%),5G RLC Layer Downlink Block Rate (Total),5G RLC Layer Downlink Retransmission Rate (Total) (%),5G SSB-RSRP (L3) (dBm),5G SS-RSRP (dBm),5G SS-RSRP (0) (dBm),5G SS-RSRP (1) (dBm),5G SS-RSRP (2) (dBm),5G SS-RSRP (3) (dBm),5G SS-RSRQ (dB),5G SS-RSRQ (0) (dB),5G SS-RSRQ (1) (dB),5G SS-RSRQ (2) (dB),5G SS-RSRQ (3) (dB),5G SS-RSSI (0) (dBm),5G SS-RSSI (1) (dBm),5G SS-RSSI (2) (dBm),5G SS-RSSI (3) (dBm),5G SS-SINR (dB),5G SS-SINR (0) (dB),5G SS-SINR (1) (dB),5G SS-SINR (2) (dB),5G SS-SINR (3) (dB)
2026-03-20T14:13:22.239+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,0,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-95.9,-96.0,-99.3,,,-10.4,,,,,-67.8,-71.4,-67.3,-66.6,22.2,22.2,12.4,14.2,14.8
2026-03-20T14:13:23.316+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,0,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-95.9,-96.0,-99.9,,,-10.5,,,,,-67.4,-72.0,-67.6,-67.0,16.6,16.6,10.6,11.9,14.1
2026-03-20T14:13:24.351+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,9537,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=3,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",,1,9.8,2.0,0,0,51,5,5,5,51,0.0,0,0.0,,-95.4,-95.4,-101.1,,,-10.4,,,,,-66.8,-73.0,-67.3,-66.8,22.6,22.6,10.1,14.5,18.1
2026-03-20T14:13:25.376+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,17687,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=2,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=2,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=3,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=3,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-96.4,-96.5,-99.2,,,-10.5,,,,,-68.0,-71.6,-67.0,-66.8,19.6,19.0,12.0,14.3,19.6
2026-03-20T14:13:26.547+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,48000,0,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=4,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-91.4,-91.3,-98.8,,,-10.4,,,,,-63.8,-70.8,-65.9,-65.8,25.1,25.1,11.4,14.8,20.7
2026-03-20T14:13:27.587+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,0,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-91.7,-91.7,-100.4,,,-10.4,,,,,-63.3,-71.9,-66.8,-66.9,23.2,23.2,9.0,12.9,18.4
2026-03-20T14:13:28.180+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,9537,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-93.4,-93.6,-100.9,,,-10.4,,,,,-64.9,-71.9,-67.0,-67.6,20.2,20.2,10.1,14.8,18.3
2026-03-20T14:13:28.181+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,9537,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-93.4,-93.6,-100.9,,,-10.4,,,,,-64.9,-71.9,-67.0,-67.6,20.2,20.2,10.1,14.8,18.3
2026-03-20T14:13:28.182+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,9537,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-93.4,-93.6,-100.9,,,-10.4,,,,,-64.9,-71.9,-67.0,-67.6,20.2,20.2,10.1,14.8,18.3
2026-03-20T14:13:28.193+01:00,17.071235,48.153982,,,Band n78,20.0,20.0,,,,32000,9537,,19,19,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=4,256-QAM=0,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0",,1,9.8,2.0,1,1,51,5,5,5,51,0.0,0,0.0,,-93.4,-93.6,-100.9,,,-10.4,,,,,-64.9,-71.9,-67.0,-67.6,20.2,20.2,10.1,14.8,18.3
