#Application:Echo One 5.0.6
#DeviceId:fcf77365338a4100148cfafb6a9e0ba4
#DeviceName:Echo One @ 2109119DG
#Systems:5G
#MCC:262
#MNC:1
#Notes:Meranie internet na konci po vzdialenostiach 2,5m
Time,Longitude,Latitude,5G 5GMM State,5G 5GMM Substate,5G Band,5G Bandwidth Downlink (MHz),5G Bandwidth Uplink (MHz),5G CSI-RSRP (L3) (dBm),5G C-RNTI,5G gNodeB ID,5G MAC Layer Downlink Throughput (bps),5G MAC Layer Uplink Throughput (Total) (bps),5G Maximum TX Power (dBm),5G MCS DL,5G MCS DL (Total),5G MCS UL (Total),5G MCS UL,5G Modulation DL,5G Modulation DL (Total),5G Modulation UL,5G Modulation UL (Total),5G NR Cell ID,5G RBs DL,5G RB Usage Uplink (%),5G RB Usage Downlink (%),5G RBs DL Average,5G RBs DL Average (Total),5G RBs DL Max,5G RBs UL,5G RBs UL Average,5G RBs UL Average (Total),5G RBs UL Max,5G RLC Layer Downlink BLER (Total) (%),5G RLC Layer Downlink Block Rate (Total),5G RLC Layer Downlink Retransmission Rate (Total) (%),5G SSB-RSRP (L3) (dBm),5G SS-RSRP (dBm),5G SS-RSRP (0) (dBm),5G SS-RSRP (1) (dBm),5G SS-RSRP (2) (dBm),5G SS-RSRP (3) (dBm),5G SS-RSRQ (dB),5G SS-RSRQ (0) (dB),5G SS-RSRQ (1) (dB),5G SS-RSRQ (2) (dB),5G SS-RSRQ (3) (dB),5G SS-RSSI (0) (dBm),5G SS-RSSI (1) (dBm),5G SS-RSSI (2) (dBm),5G SS-RSSI (3) (dBm),5G SS-SINR (dB),5G SS-SINR (0) (dB),5G SS-SINR (1) (dB),5G SS-SINR (2) (dB),5G SS-SINR (3) (dB)
2026-03-20T14:19:00.308+01:00,17.071257,48.153962,,,Band n78,,,,,,,,,,22,,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0",,,,,,,,,,,,,,,,,,-94.3,,,,,-10.4,,,,,,,,,18.3,,,,
2026-03-20T14:19:00.308+01:00,17.07126,48.153977,,,Band n78,,,,,,,,,,22,,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0",,,,,,,,,,,,,,,,,,-94.3,,,,,-10.4,,,,,,,,,18.3,,,,
2026-03-20T14:19:00.397+01:00,17.07126,48.153977,,,Band n78,,,,18043,,,,,,22,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0",,,,3,,,,,,9,,,,0.0,22,0.0,,-94.3,,,,,-10.4,,,,,,,,,18.3,,,,
2026-03-20T14:19:00.397+01:00,17.07126,48.153977,,,Band n78,20.0,20.0,,18043,,,,,,22,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=10,1024-QAM=0",,3,,,,,,9,,,,0.0,22,0.0,,-94.3,,,,,-10.4,,,,,,,,,18.3,,,,
2026-03-20T14:19:00.397+01:00,17.07126,48.153977,,,Band n78,20.0,20.0,,18043,,,,,,22,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=10,1024-QAM=0",6733824,3,,,,,,9,,,,0.0,22,0.0,,-94.3,,,,,-10.4,,,,,,,,,18.3,,,,
2026-03-20T14:19:00.397+01:00,17.07126,48.153977,,,Band n78,20.0,20.0,,18043,,,,,,22,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=10,1024-QAM=0",6733824,3,,,,2,,9,,4,,0.0,22,0.0,,-94.3,-94.4,-99.8,,,-10.4,,,,,,,,,18.3,18.3,12.2,7.4,17.4
2026-03-20T14:19:00.397+01:00,17.07126,48.153977,,,Band n78,20.0,20.0,,18043,,38517,54310,,,22,27,,,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0",,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=10,1024-QAM=0",6733824,3,17.6,5.9,,2,51,9,,4,51,0.0,22,0.0,,-94.3,-94.4,-99.8,,,-10.4,,,,,,,,,18.3,18.3,12.2,7.4,17.4
2026-03-20T14:19:01.476+01:00,17.07126,48.153977,,,Band n78,20.0,20.0,,18043,26304,38517,2654474,,22,22,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=1,256-QAM=7,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=10,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=10,1024-QAM=0",6733824,3,17.6,5.9,2,2,51,9,5,5,51,0.0,22,0.0,,-97.1,-97.4,-100.0,,,-10.4,,,,,-71.4,-72.4,-71.1,-70.9,14.0,10.0,11.0,4.5,14.0
2026-03-20T14:19:02.491+01:00,17.07126,48.153977,,,Band n78,20.0,20.0,,18043,26304,32000,19074,,22,22,27,27,"PI/2-BPSK=0,QPSK=1,16-QAM=0,64-QAM=0,256-QAM=5,1024-QAM=0","PI/2-BPSK=0,QPSK=1,16-QAM=0,64-QAM=0,256-QAM=5,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=11,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=11,1024-QAM=0",6733824,3,17.6,5.9,8,8,51,9,5,5,51,0.0,0,0.0,,-90.1,-90.0,-96.0,,,-10.4,,,,,-63.4,-71.5,-70.9,-63.6,24.1,24.1,19.8,11.3,18.5
2026-03-20T14:19:03.069+01:00,17.07126,48.153977,,,Band n78,20.0,20.0,,18043,26304,32000,0,,22,22,27,27,"PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=1,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0","PI/2-BPSK=0,QPSK=0,16-QAM=0,64-QAM=0,256-QAM=2,1024-QAM=0",6733824,3,17.6,5.9,1,1,51,9,5,5,51,0.0,0,0.0,,-90.1,-90.0,-96.0,,,-10.4,,,,,-63.4,-71.5,-70.9,-63.6,24.1,24.1,19.8,11.3,18.5
