#group,false,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,long,long,long,long,long,long,long,double,string,double,string,long,string,string,long,long,long,long
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,pci,rnti,testbed,bsr,cqi,dl_brate,dl_bs,dl_mcs,dl_nof_nok,dl_nof_ok,pucch_snr_db,pucch_ta_ns,pusch_snr_db,pusch_ta_ns,ri,srs_ta_ns,ta_ns,ul_brate,ul_mcs,ul_nof_nok,ul_nof_ok
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:17:51.991Z,ue_info,1,4601,default,0,0,4688,0,2,0,13,-3.9484212,-451.549539,30.677752,174.522398,0,n/a,n/a,34688,26,0,8
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:17:52.991Z,ue_info,1,4601,default,0,12,48176,0,16,0,31,-2.704215,-47.362104,31.044739,239.911003,1,n/a,30.612036,108560,27,0,19
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:17:53.991Z,ue_info,1,4601,default,0,0,152752,0,21,1,34,-4.5266833,174.458833,31.715694,242.497350,0,n/a,n/a,76680,27,0,13
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:17:54.992Z,ue_info,1,4601,default,0,0,266464,0,21,1,62,0.93715703,176.137291,31.797747,241.640834,0,n/a,n/a,628200,27,4,43
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:17:55.992Z,ue_info,1,4601,default,0,0,174592,9,21,0,82,2.8854587,267.968545,31.489748,243.094718,0,n/a,n/a,1017120,27,9,62
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:17:56.992Z,ue_info,1,4601,default,0,0,20288,0,21,0,14,-9.319748,148.783357,33.5485,246.938072,0,n/a,n/a,19456,27,0,4
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:17:57.992Z,ue_info,1,4601,default,0,0,17440,0,21,0,15,-8.0004635,32.188794,31.511456,249.365598,0,n/a,n/a,130632,27,2,9
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:28:54.459Z,ue_info,1,4601,default,0,0,4272,26970,3,0,9,-2.8834484,556.668283,30.182669,-429.111054,0,n/a,n/a,12928,22,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:28:56.459Z,ue_info,1,4601,default,2014,0,2149280,81830,0,124,1274,15.040008,237.022363,26.258879,305.510696,0,n/a,n/a,198232,27,6,35
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:28:57.459Z,ue_info,1,4601,default,0,0,1811272,80730,0,82,1318,15.460788,293.239566,25.280785,343.396522,0,n/a,n/a,434760,24,24,45
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:28:58.459Z,ue_info,1,4601,default,0,0,2789160,87283,1,48,1347,15.97847,296.039673,29.338972,355.805867,0,n/a,n/a,452640,26,13,57
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:28:59.459Z,ue_info,1,4601,default,0,0,2616272,0,1,50,1003,13.855051,231.516026,28.459326,323.083412,0,n/a,n/a,445912,25,17,60
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:29:00.459Z,ue_info,1,4601,default,0,0,575504,2610,1,16,272,7.868885,147.853754,31.262764,357.903389,0,n/a,n/a,220384,27,6,36
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:37.338Z,ue_info,1,4601,default,0,12,11344,0,12,3,18,5.6813407,314.357095,27.165,89.009610,1,n/a,293.394550,17792,23,0,4
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:38.338Z,ue_info,1,4601,default,0,10,18320,0,14,4,16,6.1940174,257.232642,30.552572,307.573572,1,n/a,263.414961,32128,27,0,7
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:39.338Z,ue_info,1,4601,default,0,8,3136,0,10,1,9,4.1411376,251.118934,30.312502,329.208376,1,n/a,256.903405,19456,27,0,4
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:40.338Z,ue_info,1,4601,default,0,9,8512,0,12,1,13,3.8059647,259.785935,30.527502,269.699115,1,n/a,260.520352,19456,27,0,4
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:32:41.338Z,ue_info,1,4601,default,0,9,4504,0,13,2,11,3.0674515,234.303826,30.162,126.139327,1,n/a,232.182941,4864,27,0,1
