timestamp_unix,datetime_utc,fivegs_amffunction_amf_authfail,fivegs_amffunction_amf_authreject,fivegs_amffunction_amf_authreq,fivegs_amffunction_mm_confupdate,fivegs_amffunction_mm_confupdatesucc,fivegs_amffunction_mm_paging5greq,fivegs_amffunction_mm_paging5gsucc,fivegs_amffunction_rm_regemergreq,fivegs_amffunction_rm_regemergsucc,fivegs_amffunction_rm_reginitfail,fivegs_amffunction_rm_reginitreq,fivegs_amffunction_rm_reginitsucc,fivegs_amffunction_rm_registeredsubnbr,fivegs_amffunction_rm_regmobfail,fivegs_amffunction_rm_regmobreq,fivegs_amffunction_rm_regmobsucc,fivegs_amffunction_rm_regperiodfail,fivegs_amffunction_rm_regperiodreq,fivegs_amffunction_rm_regperiodsucc,fivegs_ep_n3_gtp_indatapktn3upf,fivegs_ep_n3_gtp_outdatapktn3upf,fivegs_smffunction_sm_n4sessionestabreq,fivegs_smffunction_sm_n4sessionreport,fivegs_smffunction_sm_n4sessionreportsucc,fivegs_smffunction_sm_pdusessioncreationreq,fivegs_smffunction_sm_pdusessioncreationsucc,fivegs_smffunction_sm_qos_flow_nbr,fivegs_smffunction_sm_sessionnbr,fivegs_upffunction_sm_n4sessionestabreq,fivegs_upffunction_sm_n4sessionreport,fivegs_upffunction_sm_n4sessionreportsucc,fivegs_upffunction_upf_qosflows,fivegs_upffunction_upf_sessionnbr
1774000800,2026-03-20T10:00:00Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000815,2026-03-20T10:00:15Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000830,2026-03-20T10:00:30Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000845,2026-03-20T10:00:45Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000860,2026-03-20T10:01:00Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000875,2026-03-20T10:01:15Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000890,2026-03-20T10:01:30Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000905,2026-03-20T10:01:45Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000920,2026-03-20T10:02:00Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000935,2026-03-20T10:02:15Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000950,2026-03-20T10:02:30Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000965,2026-03-20T10:02:45Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000980,2026-03-20T10:03:00Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774000995,2026-03-20T10:03:15Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774001010,2026-03-20T10:03:30Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,10,10,6,1,10,13,13,1,1
1774001025,2026-03-20T10:03:45Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,11,11,7,1,11,13,13,1,1
1774001040,2026-03-20T10:04:00Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,11,11,7,1,11,13,13,1,1
1774001055,2026-03-20T10:04:15Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001070,2026-03-20T10:04:30Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001085,2026-03-20T10:04:45Z,,0,2,14,9,10,6,0,0,2,5,3,2,,1,1,,1,1,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001100,2026-03-20T10:05:00Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001115,2026-03-20T10:05:15Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001130,2026-03-20T10:05:30Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001145,2026-03-20T10:05:45Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001160,2026-03-20T10:06:00Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001175,2026-03-20T10:06:15Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,2,12,13,13,1,2
1774001190,2026-03-20T10:06:30Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,1,12,13,13,1,1
1774001205,2026-03-20T10:06:45Z,,0,2,15,9,10,6,0,0,2,5,3,2,,1,1,,2,2,0,0,0,13,13,12,12,7,1,12,13,13,1,1
