timestamp_unix,datetime_utc,labels,value
1774000800,2026-03-20T10:00:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000815,2026-03-20T10:00:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000830,2026-03-20T10:00:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000845,2026-03-20T10:00:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000860,2026-03-20T10:01:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000875,2026-03-20T10:01:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000890,2026-03-20T10:01:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000905,2026-03-20T10:01:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000920,2026-03-20T10:02:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000935,2026-03-20T10:02:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000950,2026-03-20T10:02:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000965,2026-03-20T10:02:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000980,2026-03-20T10:03:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774000995,2026-03-20T10:03:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774001010,2026-03-20T10:03:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",10
1774001025,2026-03-20T10:03:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",11
1774001040,2026-03-20T10:04:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",11
1774001055,2026-03-20T10:04:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001070,2026-03-20T10:04:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001085,2026-03-20T10:04:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001100,2026-03-20T10:05:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001115,2026-03-20T10:05:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001130,2026-03-20T10:05:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
1774001145,2026-03-20T10:05:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",12
